index,card_id,card_name,card_number,set_id,set_name,binder_name,page_number,slot_number,card_market_value
2_18_3,base4-79,Magnemite,79,base4,NOT_FOUND,2,18,3,0.0
2_18_4,base4-75,Gastly,75,base4,NOT_FOUND,2,18,4,0.0
2_18_5,base4-99,Vulpix,99,base4,NOT_FOUND,2,18,5,0.0
2_18_6,base4-60,Ponyta,60,base4,NOT_FOUND,2,18,6,0.0
2_18_7,base4-100,Weedle,100,base4,NOT_FOUND,2,18,7,0.0
2_18_8,base4-68,Caterpie,68,base4,NOT_FOUND,2,18,8,0.0
2_18_9,base4-88,Poliwag,88,base4,NOT_FOUND,2,18,9,0.0
2_19_1,base4-57,Poliwhirl,57,base4,NOT_FOUND,2,19,1,0.0
2_19_2,base4-44,Ivysaur,44,base4,NOT_FOUND,2,19,2,0.0
2_19_3,base4-63,Wartortle,63,base4,NOT_FOUND,2,19,3,0.0
2_19_4,base4-35,Charmeleon,35,base4,NOT_FOUND,2,19,4,0.0
2_19_5,base4-46,Kadabra,46,base4,NOT_FOUND,2,19,5,0.0
2_19_6,base4-49,Machoke,49,base4,NOT_FOUND,2,19,6,0.0
2_19_7,base4-47,Kakuna,47,base4,NOT_FOUND,2,19,7,0.0
2_19_8,base4-81,Metapod,81,base4,NOT_FOUND,2,19,8,0.0
2_19_9,base4-22,Dragonair,22,base4,NOT_FOUND,2,19,9,0.0
2_20_1,base4-38,Dratini,38,base4,NOT_FOUND,2,20,1,0.0
2_20_2,base4-42,Growlithe,42,base4,NOT_FOUND,2,20,2,0.0
2_20_3,base4-33,Arcanine,33,base4,NOT_FOUND,2,20,3,0.0
2_20_4,base4-25,Electrode,25,base4,NOT_FOUND,2,20,4,0.0
2_20_5,base4-24,Electabuzz,24,base4,NOT_FOUND,2,20,5,0.0
2_20_6,base4-124,Double Colorless Energy,124,base4,NOT_FOUND,2,20,6,0.0
2_20_7,base4-116,Professor Oak,116,base4,NOT_FOUND,2,20,7,0.0
2_20_8,base4-118,Bill,118,base4,NOT_FOUND,2,20,8,0.0
2_20_9,base4-119,Energy Removal,119,base4,NOT_FOUND,2,20,9,0.0
